[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1502403507.892000 8/10/2017, 3:18:27 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO As deposited
INFO, WEIGHT, 56.750
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, mass includes substrate
INFO, SEQUENCE FILE: 20170810-YBCO-as.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1502403507.890,,1.000000e+001,2.002579e+000,-2.998612e-004,2.457830e-005,5.864053e-003,4.559051e-002,3,7.909831e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,6.385088e-003,0,,0,
1502403964.676,,1.000000e+001,2.600256e+001,-2.789560e-004,1.117470e-008,-2.500703e-002,7.440762e-005,3,7.868795e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,3.370285e-003,0,,0,
1502404147.649,,1.000000e+001,3.099821e+001,-2.680334e-004,2.610244e-006,6.981295e-003,4.269671e-002,3,7.369995e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,0.000000e+000,0,,0,
1502404362.354,,1.000000e+001,3.600176e+001,-2.968211e-004,7.256852e-006,-3.952606e-002,4.910610e-002,3,7.224789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,3.139496e-003,0,,0,
1502404586.581,,1.000000e+001,4.100340e+001,-2.703632e-004,8.484729e-006,-2.265286e-002,8.319512e-004,3,7.654703e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,5.981445e-003,0,,0,
1502404808.320,,1.000000e+001,4.600711e+001,-2.771399e-004,2.127807e-005,-1.841481e-002,1.335862e-002,3,8.138365e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,4.962921e-003,0,,0,
1502405017.806,,1.000000e+001,5.101879e+001,-2.740088e-004,1.344666e-007,-2.185306e-002,5.778465e-005,3,7.877721e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,9.632111e-003,0,,0,
1502405230.262,,1.000000e+001,5.602570e+001,-2.726460e-004,6.815936e-008,-2.112872e-002,9.835494e-005,3,7.881976e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,1.580811e-002,0,,0,
1502405440.490,,1.000000e+001,6.104665e+001,-2.706457e-004,1.343844e-008,-1.989613e-002,6.558181e-005,3,7.884660e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,1.863098e-002,0,,0,
1502405656.717,,1.000000e+001,6.606287e+001,-2.681088e-004,4.955547e-008,-1.877735e-002,1.990648e-004,3,7.887623e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,2.162933e-002,0,,0,
1502405876.917,,1.000000e+001,7.107314e+001,-2.682427e-004,5.579004e-006,-5.761402e-002,5.656933e-002,3,6.629354e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,3.601074e-002,0,,0,
1502406089.085,,1.000000e+001,7.609561e+001,-2.684891e-004,1.473553e-005,-4.562984e-003,1.531062e-002,3,7.870321e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,4.080963e-002,0,,0,
1502406305.996,,1.000000e+001,8.110175e+001,-2.261569e-004,8.485964e-008,-1.353575e-002,2.449206e-004,3,7.905295e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,4.010773e-002,0,,0,
1502406592.986,,1.000000e+001,8.606954e+001,3.819051e-006,3.360029e-006,-7.222782e-001,1.021456e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,9.890747e-002,0,,0,
1502406856.914,,1.000000e+001,9.105568e+001,-5.297192e-007,4.188647e-008,6.377742e-001,2.500678e-002,3,6.952801e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,3.544617e-002,0,,0,
1502408390.412,,0.000000e+000,7.004751e+001,7.850770e-006,2.406042e-005,-4.407370e-001,6.232962e-001,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,2.631378e-002,0,,0,
1502408528.355,,0.000000e+000,7.107877e+001,-3.269197e-007,6.256640e-006,5.430626e-001,7.680065e-001,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,4.951477e-002,0,,0,
1502408671.340,,0.000000e+000,7.205148e+001,1.400358e-007,5.919306e-006,6.147233e-001,6.581039e-001,3,2.513093e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,3.691864e-002,0,,0,
1502409307.323,,0.000000e+000,7.402687e+001,-1.275747e-005,2.386016e-005,5.422493e-001,5.204448e-001,3,2.270612e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,2.426147e-002,0,,0,
1502409510.351,,0.000000e+000,7.503293e+001,-1.363854e-006,7.829276e-006,-4.750134e-001,9.192816e-001,3,2.449235e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,4.475403e-002,0,,0,
1502410101.293,,1.000000e+001,7.599751e+001,-2.278347e-004,4.578109e-006,6.982245e-003,1.890685e-002,3,7.665896e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,1.018524e-002,0,,0,
