[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1509032039.318000 10/26/2017, 8:33:59 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO as deposited
INFO, WEIGHT, 86.720
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, with substrate
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20171025-YBCO-Ta-500C.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1509032039.318,,1.000000e+001,2.000133e+000,-1.082450e-004,1.337411e-007,3,5.947243e-001,1.235541e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.468062e-003,0.000000e+000,0,,0,
1509032303.039,,1.000000e+001,3.999945e+000,-1.078427e-004,5.617179e-008,3,5.932775e-001,5.208677e-002,,,,,,,,,,,,,,48,2,6.000000e+000,9.370089e-003,0.000000e+000,0,,0,
1509032456.199,,1.000000e+001,5.998498e+000,-1.076445e-004,2.550831e-008,3,5.908778e-001,2.369680e-002,,,,,,,,,,,,,,48,2,6.000000e+000,8.131981e-003,0.000000e+000,0,,0,
1509032647.279,,1.000000e+001,8.012282e+000,-1.075040e-004,2.367828e-007,3,5.926187e-001,2.202549e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.539228e-002,0.000000e+000,0,,0,
1509032779.879,,1.000000e+001,9.999086e+000,-1.075908e-004,1.470561e-007,3,5.914537e-001,1.366809e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.360321e-002,0.000000e+000,0,,0,
1509032936.730,,1.000000e+001,1.199352e+001,-1.076495e-004,5.982465e-008,3,5.927220e-001,5.557353e-002,,,,,,,,,,,,,,48,2,6.000000e+000,5.998611e-004,0.000000e+000,0,,0,
1509033074.850,,1.000000e+001,1.400601e+001,-1.074009e-004,8.184473e-008,3,5.915456e-001,7.620490e-002,,,,,,,,,,,,,,48,2,6.000000e+000,5.439758e-003,0.000000e+000,0,,0,
1509033219.740,,1.000000e+001,1.599232e+001,-1.076706e-004,2.764652e-007,3,5.913844e-001,2.567694e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.259659e-003,0.000000e+000,0,,0,
1509033357.260,,1.000000e+001,1.799232e+001,-1.075280e-004,1.155849e-007,3,5.913295e-001,1.074928e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.649857e-003,0.000000e+000,0,,0,
1509033507.951,,1.000000e+001,1.999549e+001,-1.076359e-004,5.865162e-008,3,5.931549e-001,5.449078e-002,,,,,,,,,,,,,,48,2,6.000000e+000,6.099701e-003,0.000000e+000,0,,0,
1509033655.571,,1.000000e+001,2.199136e+001,-1.074672e-004,4.656630e-008,3,5.918182e-001,4.333070e-002,,,,,,,,,,,,,,48,2,6.000000e+000,4.291534e-003,0.000000e+000,0,,0,
1509033797.421,,1.000000e+001,2.399350e+001,-1.074734e-004,1.360460e-007,3,5.924013e-001,1.265857e-001,,,,,,,,,,,,,,48,2,6.000000e+000,5.081177e-003,0.000000e+000,0,,0,
1509033939.711,,1.000000e+001,2.599884e+001,-1.074985e-004,1.332524e-007,3,5.929351e-001,1.239574e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.265144e-002,0.000000e+000,0,,0,
1509034089.051,,1.000000e+001,2.799591e+001,-1.074592e-004,1.018686e-007,3,5.926807e-001,9.479743e-002,,,,,,,,,,,,,,48,2,6.000000e+000,9.708405e-004,0.000000e+000,0,,0,
1509034237.092,,1.000000e+001,2.999434e+001,-1.073393e-004,1.909779e-008,3,5.927702e-001,1.779198e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.327133e-002,0.000000e+000,0,,0,
1509034389.102,,1.000000e+001,3.200500e+001,-1.071116e-004,7.022760e-008,3,5.934899e-001,6.556492e-002,,,,,,,,,,,,,,48,2,6.000000e+000,6.248474e-003,0.000000e+000,0,,0,
1509034540.882,,1.000000e+001,3.400050e+001,-1.069075e-004,2.813117e-007,3,5.934348e-001,2.631356e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.261902e-002,0.000000e+000,0,,0,
1509034690.262,,1.000000e+001,3.600480e+001,-1.070594e-004,7.551653e-008,3,5.933717e-001,7.053705e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.095200e-002,0.000000e+000,0,,0,
1509034842.312,,1.000000e+001,3.801071e+001,-1.071308e-004,6.113660e-008,3,5.939578e-001,5.706726e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.559830e-002,0.000000e+000,0,,0,
1509035002.723,,1.000000e+001,4.001056e+001,-1.069195e-004,1.439897e-007,3,5.931691e-001,1.346712e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.143265e-002,0.000000e+000,0,,0,
1509035168.333,,1.000000e+001,4.201053e+001,-1.067565e-004,5.638273e-008,3,5.926917e-001,5.281433e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.042938e-002,0.000000e+000,0,,0,
1509035341.263,,1.000000e+001,4.401260e+001,-1.066160e-004,7.630370e-008,3,5.924155e-001,7.156873e-002,,,,,,,,,,,,,,48,2,6.000000e+000,2.732086e-002,0.000000e+000,0,,0,
1509035507.503,,1.000000e+001,4.601914e+001,-1.065980e-004,8.191676e-008,3,5.927031e-001,7.684642e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.486969e-002,0.000000e+000,0,,0,
1509035671.024,,1.000000e+001,4.802546e+001,-1.064787e-004,1.524016e-007,3,5.934433e-001,1.431287e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.506042e-002,0.000000e+000,0,,0,
1509035847.614,,1.000000e+001,5.002486e+001,-1.063070e-004,2.729513e-007,3,5.930215e-001,2.567575e-001,,,,,,,,,,,,,,48,2,6.000000e+000,2.553177e-002,0.000000e+000,0,,0,
1509036003.434,,1.000000e+001,5.203920e+001,-1.062759e-004,1.366274e-007,3,5.934172e-001,1.285592e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.620911e-002,0.000000e+000,0,,0,
1509036159.674,,1.000000e+001,5.404669e+001,-1.060819e-004,9.356992e-008,3,5.928929e-001,8.820537e-002,,,,,,,,,,,,,,48,2,6.000000e+000,2.946854e-002,0.000000e+000,0,,0,
1509036314.484,,1.000000e+001,5.606052e+001,-1.060594e-004,9.297825e-008,3,5.940017e-001,8.766621e-002,,,,,,,,,,,,,,48,2,6.000000e+000,4.167938e-002,0.000000e+000,0,,0,
1509036464.335,,1.000000e+001,5.806721e+001,-1.059868e-004,1.536775e-007,3,5.934659e-001,1.449969e-001,,,,,,,,,,,,,,48,2,6.000000e+000,2.000046e-002,0.000000e+000,0,,0,
1509036622.725,,1.000000e+001,6.007348e+001,-1.060580e-004,1.374815e-007,3,5.937073e-001,1.296286e-001,,,,,,,,,,,,,,48,2,6.000000e+000,4.431915e-002,0.000000e+000,0,,0,
1509036773.315,,1.000000e+001,6.208488e+001,-1.059516e-004,3.236643e-008,3,5.934993e-001,3.054832e-002,,,,,,,,,,,,,,48,2,6.000000e+000,7.341766e-002,0.000000e+000,0,,0,
1509036933.315,,1.000000e+001,6.408138e+001,-1.057829e-004,1.279943e-007,3,5.939524e-001,1.209972e-001,,,,,,,,,,,,,,48,2,6.000000e+000,6.863403e-002,0.000000e+000,0,,0,
1509037101.446,,1.000000e+001,6.605577e+001,-1.056692e-004,7.186367e-008,3,5.948257e-001,6.800817e-002,,,,,,,,,,,,,,48,2,6.000000e+000,4.125214e-002,0.000000e+000,0,,0,
1509037259.136,,1.000000e+001,6.808688e+001,-1.056227e-004,1.927992e-007,3,5.936906e-001,1.825357e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.119659e-002,0.000000e+000,0,,0,
1509037421.726,,1.000000e+001,7.007626e+001,-1.052852e-004,7.541364e-008,3,5.932292e-001,7.162798e-002,,,,,,,,,,,,,,48,2,6.000000e+000,4.608154e-002,0.000000e+000,0,,0,
1509037581.136,,1.000000e+001,7.207999e+001,-1.053391e-004,1.131873e-010,3,5.955983e-001,1.074504e-004,,,,,,,,,,,,,,48,2,6.000000e+000,7.158661e-002,0.000000e+000,0,,0,
1509037737.686,,1.000000e+001,7.408411e+001,-1.051542e-004,2.201082e-007,3,5.956899e-001,2.093195e-001,,,,,,,,,,,,,,48,2,6.000000e+000,8.985901e-002,0.000000e+000,0,,0,
1509037893.867,,1.000000e+001,7.607858e+001,-1.047859e-004,1.178383e-007,3,5.974430e-001,1.124563e-001,,,,,,,,,,,,,,48,2,6.000000e+000,9.945679e-002,0.000000e+000,0,,0,
1509038053.047,,1.000000e+001,7.810901e+001,-1.027969e-004,5.032721e-008,3,5.951517e-001,4.895793e-002,,,,,,,,,,,,,,48,2,6.000000e+000,5.885315e-002,0.000000e+000,0,,0,
1509038220.047,,1.000000e+001,8.010832e+001,-8.509017e-005,2.628056e-007,3,5.871457e-001,3.088554e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.641510e-002,0.000000e+000,0,,0,
1509038376.697,,1.000000e+001,8.211571e+001,-7.161754e-005,4.866027e-008,3,5.809497e-001,6.794462e-002,,,,,,,,,,,,,,48,2,6.000000e+000,7.910156e-002,0.000000e+000,0,,0,
1509038543.728,,1.000000e+001,8.409361e+001,-5.709397e-005,2.317125e-007,3,5.856594e-001,4.058441e-001,,,,,,,,,,,,,,48,2,6.000000e+000,7.647705e-002,0.000000e+000,0,,0,
