[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,PPMS_MANG
FILEOPENTIME,30382072.64,12/18/2017,4:48 pm
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.4. Build 2,APPNAME
INFO,,SAMPLE1_MATERIAL
INFO,,SAMPLE1_COMMENT
INFO,1.0,SAMPLE1_LEAD_SEPARATION
INFO,1.0,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1.0,SAMPLE2_LEAD_SEPARATION
INFO,1.0,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30382224.945,4370,299.99375,0,90.0143967,5.15482948090714,173,0.0157186703687149,,2.15231219167226E-6,,3.04931907498231,,0.000417534454613598,,,,,,,,,,0,250,-97.0897716235611,,-85.8807797810395,,-1.18150700409165E-6,,0.0157186707560623,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382238.225,4370,299.76875,0,90.0143967,5.15482948090714,173,,0.00764640873224229,,1.11739401413576E-6,,1.48335080201551,,0.000216766767801625,,,,,,,,,0,500,,-90.8786253533747,,-80.8377983685262,,8.32691185340103E-8,,0.00764640873619736,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382252.805,4370,299.21745,0,90.0143967,5.15482948090714,173,0.015725368206365,,2.14912179162014E-6,,3.05061841570055,,0.000416915538555774,,,,,,,,,,0,250,-97.2055857939457,,-85.7821501821634,,-1.17759516594246E-6,,0.0157253685909879,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382265.865,4370,298.8209,0,90.0143967,5.15482948090714,173,,0.00763534375869974,,1.12087920512301E-6,,1.48120426982527,,0.00021744287045104,,,,,,,,,0,500,,-90.1895562878917,,-80.7175535807488,,8.0975542375101E-8,,0.00763534376244535,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382280.35,4370,298.41435,0,90.0143967,5.15482948090714,173,0.0157255241741128,,2.1503814166374E-6,,3.05064867251719,,0.000417159897558473,,,,,,,,,,0,250,-95.5798170673036,,-86.134259850588,,-1.17795003847292E-6,,0.0157255245589637,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382293.14,4370,298.0138,0,90.0143967,5.15482948090714,173,,0.00762559157087143,,1.11218646791615E-6,,1.47931240944884,,0.000215756538693768,,,,,,,,,0,500,,-90.8935873289141,,-80.5969337102699,,7.97994918623064E-8,,0.00762559157451369,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382307.04,4370,297.4699,0,90.0143967,5.15482948090714,173,0.0157092620996168,,2.13002437143401E-6,,3.04749392666931,,0.00041321076279435,,,,,,,,,,0,250,-96.4452593954546,,-86.3388711038113,,-1.18273010252128E-6,,0.015709262487999,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382320.18,4370,296.8118,0,90.0143967,5.15482948090714,173,,0.0076188255677822,,1.11362825629617E-6,,1.47799984929984,,0.000216036235443733,,,,,,,,,0,500,,-90.467189924424,,-80.7522693765926,,8.12104805420773E-8,,0.00761882557155775,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382333.755,4370,296.0641,0,90.0143967,5.15482948090714,173,0.0156817913238475,,2.14405373818419E-6,,3.04216475940604,,0.000415932365757935,,,,,,,,,,0,250,-96.8555936317215,,-86.0405158114012,,-1.17577672676749E-6,,0.0156817917083489,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30382347.02,4370,295.65365,0,90.0143967,5.15482948090714,173,,0.00761025209901862,,1.11419002511508E-6,,1.47633665268955,,0.000216145214342153,,,,,,,,,0,500,,-90.837929933539,,-80.5498009942778,,8.97700420725237E-8,,0.00761025210363719,,,,,,,,,,,,,,,,,,,,,,,,,,
