[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,PPMS_MANG
FILEOPENTIME,30531877.56,12/20/2017,10:32 am
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.4. Build 2,APPNAME
INFO,,SAMPLE1_MATERIAL
INFO,,SAMPLE1_COMMENT
INFO,1.0,SAMPLE1_LEAD_SEPARATION
INFO,1.0,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1.0,SAMPLE2_LEAD_SEPARATION
INFO,1.0,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30531891.325,4370,299.99,312.857,90.014,0.102153342753992,173,0.000329641822089015,,5.08941307094924E-8,,3.22852003294113,,0.000498458229058383,,,,,,,,,,0,5000,-81.4312224630918,,-79.6954541804461,,-4.01214237972664E-6,,0.000329641905732235,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531901.65,4370,299.92365,312.857,90.014,0.102153342753992,173,,0.000150272832377588,,2.41957150516047E-8,,1.47138160966318,,0.000236909939691051,,,,,,,,,0,5000,,-88.2461328493508,,-78.2144177455091,,9.62916299326664E-7,,0.000150272842946178,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531913.055,4370,299.59995,312.857,90.014,0.102153342753992,173,0.000329636309645489,,4.99515220189675E-8,,3.22846601735522,,0.000489226286907058,,,,,,,,,,0,5000,-81.6804916166818,,-80.5691160818718,,-4.13928604067879E-6,,0.000329636398675455,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531923.085,4370,299.32205,312.857,90.014,0.102153342753992,173,,0.000150304873037783,,2.23536247596755E-8,,1.47169540303249,,0.000218873306794812,,,,,,,,,0,5000,,-84.3375293398309,,-79.7928512365648,,9.41460408970535E-7,,0.000150304883138483,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531936.06,4374,299.0191,312.857,90.014,0.102153342753992,173,0.000329354565034977,,5.00765927835038E-8,,3.22570524645343,,0.00049045101403043,,,,,,,,,,0,5000,-80.8989689197299,,-80.3016797335423,,-4.32307975016625E-6,,0.00032935466222981,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531946.34,4374,298.78255,312.857,90.014,0.102153342753992,173,,0.00015010785656398,,2.47638868401203E-8,,1.46976590321822,,0.000242473074001112,,,,,,,,,0,5000,,-87.7152552017371,,-77.2850938467228,,1.05781228507343E-6,,0.000150107869332313,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531957.845,4374,298.48105,312.857,90.014,0.102153342753992,173,0.000329256434167769,,4.90339753187278E-8,,3.22474367814318,,0.000480239535276222,,,,,,,,,,0,5000,-82.4414354319361,,-80.3191525068192,,-4.24370290349576E-6,,0.00032925652785406,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531968.165,4374,298.14595,312.857,90.014,0.102153342753992,173,,0.000150028637935149,,2.54947160405996E-8,,1.46899006826583,,0.000249628886919384,,,,,,,,,0,5000,,-87.0367958778993,,-77.5740540140678,,9.8464348591998E-7,,0.000150028649004044,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531980.99,4374,297.5879,312.857,90.014,0.102153342753992,173,0.000328916041603009,,4.87024893342591E-8,,3.22140822928535,,0.000476992706710201,,,,,,,,,,0,5000,-81.3562450436615,,-81.0030414774648,,-4.3481690886287E-6,,0.000328916140060363,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30531991.225,4374,296.98265,312.857,90.014,0.102153342753992,173,,0.000149878070789749,,2.27421247013671E-8,,1.46751547553774,,0.000222677124009332,,,,,,,,,0,5000,,-86.7205563419605,,-79.5750096172168,,9.27740514677972E-7,,0.00014987808062613,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532002.65,4374,296.03705,312.857,90.014,0.102153342753992,173,0.000328553495731028,,5.04657640809639E-8,,3.21785570766689,,0.000494261981159101,,,,,,,,,,0,5000,-80.5353332544294,,-80.669263208553,,-4.19163617755635E-6,,0.000328553587328068,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532013.195,4374,294.8934,312.857,90.014,0.102153342753992,173,,0.000149584164724081,,2.45452110241357E-8,,1.46463708225744,,0.000240331749202181,,,,,,,,,0,5000,,-90.4955877655577,,-77.19564340329,,9.13542902373395E-7,,0.000149584174280445,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532024.18,4370,293.57505,312.857,90.014,0.102153342753992,173,0.000327728911875282,,4.99578297706529E-8,,3.2097757734946,,0.000489286666673401,,,,,,,,,,0,5000,-80.8870436850813,,-79.7375106924026,,-4.18698196004167E-6,,0.000327729003498975,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532040.78,4374,292.2698,312.857,90.014,0.102153342753992,173,,0.000149072878034455,,2.20292737320049E-8,,1.45962975993813,,0.000215697039847727,,,,,,,,,0,25000,,-86.6995193476138,,-81.8888909792294,,-1.4225637736314E-6,,0.000149072901286719,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532053.06,4370,292.03625,312.857,90.014,0.102153342753992,173,0.000326701695844107,,4.97010779897626E-8,,3.1997103145361,,0.000486771289768308,,,,,,,,,,0,5000,-82.3243856072628,,-79.3249645376504,,-4.24700110455681E-6,,0.000326701790409826,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532063.545,4370,291.74105,312.857,90.014,0.102153342753992,173,,0.000148883035667066,,2.63034756961407E-8,,1.45777052724636,,0.000257547331900952,,,,,,,,,0,5000,,-89.3333427992931,,-76.854047324926,,1.01167727082158E-6,,0.000148883047442019,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532075.945,4370,291.07105,312.857,90.014,0.102153342753992,173,0.000326332344309081,,4.92198659160999E-8,,3.1960911294281,,0.000482058038030081,,,,,,,,,,0,5000,-81.5335659364927,,-80.5941554811617,,-4.31920291962381E-6,,0.000326332442228193,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532092.515,4370,290.0987,312.857,90.014,0.102153342753992,173,,0.000148606642360049,,2.17077462457842E-8,,1.45506365458391,,0.000212548689609289,,,,,,,,,0,25000,,-86.4180318986685,,-82.8312067652697,,-1.49620307534731E-6,,0.000148606668162636,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532104.295,4370,289.5528,312.857,90.014,0.102153342753992,173,0.000325629263698455,,5.03363508944939E-8,,3.18920182599011,,0.000492992350798185,,,,,,,,,,0,5000,-81.597163927095,,-79.990907353991,,-4.21113387037752E-6,,0.000325629356979852,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532120.875,4370,288.8369,312.857,90.014,0.102153342753992,173,,0.000148370173942138,,2.16051817431944E-8,,1.45274779023564,,0.000211544367319701,,,,,,,,,0,25000,,-88.2637288641553,,-83.3020309298426,,-1.49514496088689E-6,,0.000148370199749308,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532132.86,4370,288.579,312.857,90.014,0.102153342753992,173,0.000325113099599326,,5.23298551260994E-8,,3.18414407788324,,0.000512516258890831,,,,,,,,,,0,5000,-81.4448216308678,,-79.398820423898,,-4.25004853148013E-6,,0.000325113194763543,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532149.05,4370,287.86555,312.857,90.014,0.102153342753992,173,,0.000148188461478439,,2.22474459482416E-8,,1.45096818195951,,0.000217832956331629,,,,,,,,,0,25000,,-86.3184700669793,,-81.7065384501719,,-1.48369641059662E-6,,0.000148188486923066,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532160.375,4370,287.05905,312.857,90.014,0.102153342753992,173,0.000324643862805822,,5.06946551820501E-8,,3.17954616412819,,0.00049650084294166,,,,,,,,,,0,5000,-81.9739517841372,,-80.2652025392996,,-4.13945838771071E-6,,0.000324643953212439,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532170.085,4370,286.4139,312.857,90.014,0.102153342753992,173,,0.000147985185655076,,2.31739570574475E-8,,1.44897739320301,,0.000226904723836811,,,,,,,,,0,5000,,-89.1556744731655,,-78.5812725809725,,9.16140204235105E-7,,0.000147985195369701,,,,,,,,,,,,,,,,,,,,,,,,,,
,30532182.45,4370,285.7811,312.857,90.014,0.102153342753992,173,0.000324091137267969,,5.14339173369891E-8,,3.17413017691341,,0.000503740719124175,,,,,,,,,,0,5000,-81.1657717773621,,-79.8234071155162,,-4.18314148966022E-6,,0.000324091229750206,,,,,,,,,,,,,,,,,,,,,,,,,,,
