T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2
K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm
As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm
299.99,312.857,0.102153342753992,3.22852003294113,--,4.98458229058383E-4,--,300.00355,312.857,0.102153342753992,42.202330468554,--,0.0319576864449744,--,300.0162,312.857,0.102153342753992,10.6546721994364,--,0.00156875093186033,--,300.03485,312.857,0.102153342753992,12.715818138749,--,0.00216899589384588,--
299.92365,312.857,0.102153342753992,,1.47138160966318,,2.36909939691051E-4,299.77835,312.857,0.102153342753992,,0.729142052258413,,1.33866287901814E-4,299.8551,312.857,0.102153342753992,,0.174303199907772,,6.99569373085193E-5,299.98715,312.857,0.102153342753992,,2.45078207964385,,3.71691419537603E-4
299.59995,312.857,0.102153342753992,3.22846601735522,--,4.89226286907058E-4,--,299.28705,312.857,0.102153342753992,42.1316819179782,--,0.0308400941057969,--,299.38775,312.857,0.102153342753992,10.6540645549287,--,0.00164926089500051,--,299.6167,312.857,0.102153342753992,12.7183902727109,--,0.0018878923263373,--
299.32205,312.857,0.102153342753992,,1.47169540303249,,2.18873306794812E-4,298.7702,312.857,0.102153342753992,,0.729481410251247,,1.37968972088768E-4,298.7577,312.857,0.102153342753992,,0.174476897229256,,1.30154035435822E-4,299.15505,312.857,0.102153342753992,,2.44894093018973,,7.0243037038013E-4
299.0191,312.857,0.102153342753992,3.22570524645343,--,4.9045101403043E-4,--,298.4331,312.857,0.102153342753992,42.0924529236359,--,0.0309124172084947,--,298.3999,312.857,0.102153342753992,10.6464589315029,--,0.00156767638915125,--,298.6905,312.857,0.102153342753992,12.7099827044523,--,0.00356331194064857,--
298.78255,312.857,0.102153342753992,,1.46976590321822,,2.42473074001112E-4,297.92415,312.857,0.102153342753992,,0.729519420394727,,1.2966411364498E-4,297.9031,312.857,0.102153342753992,,0.174032497721417,,8.7581867358957E-5,298.382,312.857,0.102153342753992,,2.45236733107201,,8.90701909140379E-4
298.48105,312.857,0.102153342753992,3.22474367814318,--,4.80239535276222E-4,--,297.4047,312.857,0.102153342753992,42.048544899449,--,0.0309561851672237,--,297.50695,312.857,0.102153342753992,10.6399968162072,--,0.00170968735157446,--,298.01285,312.857,0.102153342753992,12.7145451231424,--,0.0044932323429248,--
298.14595,312.857,0.102153342753992,,1.46899006826583,,2.49628886919384E-4,296.4826,312.857,0.102153342753992,,0.729977281570179,,1.56503679981819E-4,296.7803,312.857,0.102153342753992,,0.174122050750436,,7.30157774369686E-5,297.69815,312.857,0.102153342753992,,2.45075683820851,,5.81418030895331E-4
297.5879,312.857,0.102153342753992,3.22140822928535,--,4.76992706710201E-4,--,295.62795,312.857,0.102153342753992,41.9819375751267,--,0.0309222189030608,--,296.0267,312.857,0.102153342753992,10.6296937366542,--,0.00162957932150911,--,297.216,312.857,0.102153342753992,12.7061144742504,--,0.00193309476612948,--
296.98265,312.857,0.102153342753992,,1.46751547553774,,2.22677124009332E-4,294.5881,312.857,0.102153342753992,,0.729683804331097,,1.6616787092115E-4,294.74605,312.857,0.102153342753992,,0.174210683573409,,7.25397566765253E-4,296.74855,312.857,0.102153342753992,,2.44714429106606,,3.69797080812662E-4
296.03705,312.857,0.102153342753992,3.21785570766689,--,4.94261981159101E-4,--,293.0972,312.857,0.102153342753992,41.8687416166061,--,0.0306077094016289,--,293.5792,312.857,0.102153342753992,10.6142328600606,--,0.00167349714578467,--,296.03425,312.857,0.102153342753992,12.70497706355,--,0.00320503394282848,--
294.8934,312.857,0.102153342753992,,1.46463708225744,,2.40331749202181E-4,292.14635,312.857,0.102153342753992,,0.730207605816555,,1.37107698861843E-4,292.37835,312.857,0.102153342753992,,0.173753239031799,,7.3083345288127E-5,295.27185,312.857,0.102153342753992,,2.44662349671108,,3.6214974680205E-4
293.57505,312.857,0.102153342753992,3.2097757734946,--,4.89286666673401E-4,--,291.94105,312.857,0.102153342753992,41.7410684350871,--,0.0301690828904346,--,292.16965,312.857,0.102153342753992,10.5941217663647,--,0.00159392894339206,--,294.1356,312.857,0.102153342753992,12.6909901717682,--,0.00185796666483796,--
292.2698,312.857,0.102153342753992,,1.45962975993813,,2.15697039847727E-4,291.1284,312.857,0.102153342753992,,0.730346718064036,,1.46716635971938E-4,291.7692,312.857,0.102153342753992,,0.173575647536414,,7.18898741896058E-5,293.13535,312.857,0.102153342753992,,2.44247725852183,,4.31281021927158E-4
292.03625,312.857,0.102153342753992,3.1997103145361,--,4.86771289768308E-4,--,290.39315,312.857,0.102153342753992,41.6690680037272,--,0.0299788507558717,--,291.12175,312.857,0.102153342753992,10.5853399414679,--,0.00164418324652359,--,292.36025,312.857,0.102153342753992,12.6760487338894,--,0.00197738275492443,--
291.74105,312.857,0.102153342753992,,1.45777052724636,,2.57547331900952E-4,289.8754,312.857,0.102153342753992,,0.730793545346642,,1.41655443003773E-4,290.36125,312.857,0.102153342753992,,0.173462864276147,,6.21053528637434E-5,292.22865,312.857,0.102153342753992,,2.44317220283646,,3.96867882706055E-4
291.07105,312.857,0.102153342753992,3.1960911294281,--,4.82058038030081E-4,--,289.676,312.857,0.102153342753992,41.606639507779,--,0.0299776940794745,--,289.904,312.857,0.102153342753992,10.5734644732894,--,0.00168038988245886,--,291.9867,312.857,0.102153342753992,12.6709806901799,--,0.00193408786114585,--
290.0987,312.857,0.102153342753992,,1.45506365458391,,2.12548689609289E-4,288.70995,312.857,0.102153342753992,,0.731360904928774,,1.64957983108893E-4,289.23495,312.857,0.102153342753992,,0.173352224502263,,6.91436904124687E-5,291.44675,312.857,0.102153342753992,,2.44070438285502,,4.03033141178405E-4
289.5528,312.857,0.102153342753992,3.18920182599011,--,4.92992350798185E-4,--,287.85365,312.857,0.102153342753992,41.553391093801,--,0.0305111661131515,--,288.50525,312.857,0.102153342753992,10.5629940214431,--,0.0016022659900395,--,290.6284,312.857,0.102153342753992,12.6638838496169,--,0.0019105239866644,--
288.8369,312.857,0.102153342753992,,1.45274779023564,,2.11544367319701E-4,287.26725,312.857,0.102153342753992,,0.73091903601674,,2.4145515945761E-4,287.65725,312.857,0.102153342753992,,0.173272678387751,,6.44402600711935E-5,290.1148,312.857,0.102153342753992,,2.43765896597082,,3.83589940446404E-4
288.579,312.857,0.102153342753992,3.18414407788324,--,5.12516258890831E-4,--,286.7536,312.857,0.102153342753992,41.4738448123851,--,0.0298697405419798,--,287.073,312.857,0.102153342753992,10.5494025358422,--,0.00152770956293509,--,289.704,312.857,0.102153342753992,12.6556735621895,--,0.00179546662213532,--
287.86555,312.857,0.102153342753992,,1.45096818195951,,2.17832956331629E-4,286.3053,312.857,0.102153342753992,,0.730765140416892,,1.51908569665121E-4,286.3327,312.857,0.102153342753992,,0.173155050956873,,6.19895504454095E-5,289.5293,312.857,0.102153342753992,,2.43748117050384,,4.05944461334402E-4
