Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption
eV,,eV,,eV,,eV,,eV,
,As Deposited,,Gd (3 nm),,Gd (7 nm),,Gd (20 nm),,Ta (20 nm) Annealed
910.20001221,0.00182562987787668,910.20001221,0.0011719268653755,910.20001221,-0.00131155033133877,910.20001221,-3.19165782636477E-4,910.20001221,0.0110941856689313
910.40002441,-0.00142817780103671,910.40002441,-8.2322541614201E-5,910.40002441,0.00116892628342351,910.40002441,-0.00101943867384534,910.40002441,0.00804133222885955
910.59997559,0.00275600937846888,910.59997559,7.96781809924009E-4,910.59997559,-5.53970999552843E-4,910.59997559,-1.22815964364549E-4,910.59997559,0.00603171927439225
910.79998779,0.00104464547752523,910.79998779,0.0013712902114098,910.79998779,8.39850062227285E-4,910.79998779,0.00286300241602033,910.79998779,0.00932806775973425
911,0.001384456908504,911,4.66442629100707E-4,911,0.00151093281914643,911,0.00214014165260723,911,0.00808931986191438
911.20001221,0.00220783587902217,911.20001221,5.75970497468994E-4,911.20001221,0.00215112777954808,911.20001221,0.00110509148931977,911.20001221,0.00513238847163215
911.40002441,0.00315607308151941,911.40002441,0.0016948753324826,911.40002441,8.08139778139433E-4,911.40002441,0.00284030552933321,911.40002441,0.00556762493375496
911.59997559,0.00358391893755076,911.59997559,0.00137018857489543,911.59997559,-3.76392338322566E-5,911.59997559,0.00260386179225083,911.59997559,0.00540376853848315
911.79998779,0.00300034704112332,911.79998779,0.00234076792580822,911.79998779,0.00380796415428118,911.79998779,0.00142518642702667,911.79998779,0.00113077869009566
912,0.00142462822503931,912,-3.06595199029509E-4,912,9.17526721180465E-4,912,0.00372165758025465,912,0.0142734596112315
912.20001221,0.00331147954116137,912.20001221,0.00106080953793367,912.20001221,0.00234062822001272,912.20001221,0.00142506267643587,912.20001221,0.00864239900308419
912.40002441,0.00443547533656989,912.40002441,9.71827952619724E-4,912.40002441,0.00271851588630783,912.40002441,0.00296230346752549,912.40002441,0.015530791567966
912.59997559,0.00289801006959331,912.59997559,0.00161416220932814,912.59997559,0.00150491282524778,912.59997559,0.00480476691322998,912.59997559,0.00870833728203605
912.79998779,0.00435723975042537,912.79998779,8.58641897510773E-4,912.79998779,0.00203404726211925,912.79998779,0.00633179824797958,912.79998779,0.0163768493113023
913,0.00285830804274484,913,0.00293637559301504,913,0.00240763255131456,913,0.00261043391262868,913,0.0109400453000567
913.20001221,0.00172851252302637,913.20001221,0.00338339700110327,913.20001221,0.00270360293682143,913.20001221,0.00403713105080841,913.20001221,0.0152485788668282
913.40002441,0.00365258516883077,913.40002441,0.00120948863993561,913.40002441,0.00300597518655118,913.40002441,0.00180384906721758,913.40002441,0.0144619763362438
913.59997559,0.00601584217601272,913.59997559,0.00381092127838905,913.59997559,0.0025606996020906,913.59997559,0.00253686854558477,913.59997559,0.0108166405459863
913.79998779,0.00299380343821463,913.79998779,0.00419725875208078,913.79998779,0.00304938713087345,913.79998779,0.00752646831198446,913.79998779,0.0151309179744022
914,0.00572331805769251,914,0.00226926759575718,914,0.00351896748492209,914,0.00414450801016544,914,0.0125068074387483
914.20001221,0.00438289372386922,914.20001221,0.00407280103032727,914.20001221,0.00410968437232423,914.20001221,0.00369008390883769,914.20001221,0.013103822809767
914.40002441,0.00487645204392654,914.40002441,0.00390044159268635,914.40002441,0.00292422992167463,914.40002441,0.00724289142059621,914.40002441,0.0207004127345086
914.59997559,0.00489214013192528,914.59997559,0.0037585176884525,914.59997559,0.00350145463462914,914.59997559,0.00508997300199986,914.59997559,0.0244457292593341
914.79998779,0.00790299938578093,914.79998779,0.00347898809621289,914.79998779,0.00416060544846218,914.79998779,0.0065196820960612,914.79998779,0.0104997028965678
915,0.00370682500898925,915,0.00484473948547916,915,0.00373321671230463,915,0.00580209177096189,915,0.0143390529138721
915.20001221,0.00482834330793351,915.20001221,0.00333656021863341,915.20001221,0.00448336383144247,915.20001221,0.00673684650048687,915.20001221,0.0173331441132464
915.40002441,0.00842428493006657,915.40002441,0.00448418471669889,915.40002441,0.00634189952040433,915.40002441,0.0063646180036223,915.40002441,0.0286920403224753
915.59997559,0.0066478420552581,915.59997559,0.00434554532090104,915.59997559,0.00654835908689039,915.59997559,0.00771321497151482,915.59997559,0.0154212303292764
915.79998779,0.00745896666325715,915.79998779,0.00547966602807317,915.79998779,0.00430388546067732,915.79998779,0.00652916688521005,915.79998779,0.0194967603947575
916,0.00845374800974155,916,0.00667131392953764,916,0.00580402867631665,916,0.00454551279273973,916,0.0187466740792921
916.20001221,0.00709060638404865,916.20001221,0.00624614319060622,916.20001221,0.0071685388264642,916.20001221,0.00676327837528053,916.20001221,0.0201535325689773
916.40002441,0.00674443678425566,916.40002441,0.00575097912034616,916.40002441,0.00543686627731908,916.40002441,0.00662529400630538,916.40002441,0.0253178955768444
916.59997559,0.00679860536262969,916.59997559,0.00612885649208779,916.59997559,0.00659564013181053,916.59997559,0.00697025472134793,916.59997559,0.0275642023932113
916.79998779,0.00860151485637051,916.79998779,0.00640450380861371,916.79998779,0.00677929756651969,916.79998779,0.00672427675898573,916.79998779,0.0272928162600133
917,0.00742462365488458,917,0.00754936352510553,917,0.00659805185485255,917,0.00716720015575508,917,0.034762126106012
