AsGrown,2theta,Intensity,2Theta,Intensity,2Theta,YBCO_Gd20nm,2theta,YBCO_Ta20nm,2theta
,As Grown,,Gd (3 nm),,Gd (7 nm),,Gd (20 nm),,Ta (20 nm)
10,2,10,10,10,4,9.975,28,10,2.56
10.01,0,10.01,11,10.01,8,9.985,20,10.01,10.24
10.02,1,10.02,7,10.02,2,9.995,25,10.02,5.12
10.03,3,10.03,8,10.03,13,10.005,18,10.03,5.12
10.04,2,10.04,8,10.04,4,10.015,22,10.04,7.68
10.05,0,10.05,10,10.05,4,10.025,21,10.05,5.12
10.06,2,10.06,11,10.06,9,10.035,18,10.06,5.12
10.07,3,10.07,9,10.07,8,10.045,25,10.07,5.12
10.08,3,10.08,10,10.08,9,10.055,17,10.08,0
10.09,1,10.09,7,10.09,14,10.065,17,10.09,5.12
10.1,1,10.1,10,10.1,5,10.075,23,10.1,7.68
10.11,3,10.11,4,10.11,11,10.085,18,10.11,7.68
10.12,1,10.12,7,10.12,10,10.095,28,10.12,2.56
10.13,3,10.13,10,10.13,8,10.105,21,10.13,7.68
10.14,0,10.14,5,10.14,5,10.115,27,10.14,5.12
10.15,3,10.15,9,10.15,8,10.125,24,10.15,2.56
10.16,0,10.16,6,10.16,6,10.135,23,10.16,2.56
10.17,1,10.17,12,10.17,2,10.145,16,10.17,2.56
10.18,2,10.18,13,10.18,6,10.155,26,10.18,5.12
10.19,0,10.19,5,10.19,8,10.165,19,10.19,12.8
10.2,1,10.2,7,10.2,2,10.175,29,10.2,2.56
10.21,1,10.21,11,10.21,4,10.185,22,10.21,0
10.22,3,10.22,4,10.22,5,10.195,23,10.22,5.12
10.23,3,10.23,15,10.23,5,10.205,22,10.23,0
10.24,2,10.24,3,10.24,1,10.215,20,10.24,7.68
10.25,2,10.25,11,10.25,6,10.225,21,10.25,0
10.26,1,10.26,5,10.26,4,10.235,37,10.26,5.12
10.27,5,10.27,9,10.27,7,10.245,20,10.27,2.56
10.28,2,10.28,7,10.28,8,10.255,25,10.28,5.12
10.29,1,10.29,11,10.29,6,10.265,24,10.29,0
10.3,0,10.3,9,10.3,9,10.275,24,10.3,7.68
10.31,1,10.31,10,10.31,7,10.285,22,10.31,0
10.32,2,10.32,9,10.32,2,10.295,20,10.32,5.12
10.33,4,10.33,14,10.33,11,10.305,29,10.33,0
10.34,0,10.34,12,10.34,10,10.315,26,10.34,7.68
10.35,2,10.35,5,10.35,4,10.325,23,10.35,15.36
10.36,0,10.36,6,10.36,4,10.335,30,10.36,2.56
10.37,0,10.37,5,10.37,6,10.345,18,10.37,10.24
10.38,0,10.38,10,10.38,10,10.355,29,10.38,10.24
10.39,1,10.39,7,10.39,7,10.365,25,10.39,5.12
10.4,2,10.4,13,10.4,8,10.375,22,10.4,5.12
10.41,2,10.41,14,10.41,0,10.385,22,10.41,2.56
10.42,0,10.42,8,10.42,7,10.395,23,10.42,2.56
10.43,3,10.43,2,10.43,2,10.405,29,10.43,2.56
10.44,2,10.44,9,10.44,9,10.415,21,10.44,2.56
10.45,3,10.45,10,10.45,8,10.425,15,10.45,0
10.46,5,10.46,10,10.46,6,10.435,21,10.46,5.12
10.47,4,10.47,9,10.47,10,10.445,25,10.47,5.12
10.48,1,10.48,7,10.48,11,10.455,21,10.48,5.12
10.49,3,10.49,9,10.49,10,10.465,27,10.49,15.36
10.5,3,10.5,7,10.5,9,10.475,29,10.5,5.12
10.51,0,10.51,11,10.51,14,10.485,23,10.51,2.56
10.52,2,10.52,7,10.52,8,10.495,26,10.52,0
10.53,4,10.53,10,10.53,7,10.505,20,10.53,10.24
10.54,2,10.54,8,10.54,9,10.515,24,10.54,2.56
10.55,2,10.55,8,10.55,8,10.525,26,10.55,5.12
10.56,2,10.56,9,10.56,5,10.535,21,10.56,5.12
10.57,2,10.57,10,10.57,7,10.545,20,10.57,15.36
10.58,3,10.58,3,10.58,7,10.555,20,10.58,10.24
10.59,2,10.59,11,10.59,8,10.565,23,10.59,2.56
10.6,3,10.6,9,10.6,8,10.575,23,10.6,0
10.61,2,10.61,7,10.61,4,10.585,26,10.61,5.12
10.62,1,10.62,13,10.62,10,10.595,25,10.62,0
10.63,1,10.63,9,10.63,6,10.605,24,10.63,7.68
10.64,1,10.64,8,10.64,5,10.615,22,10.64,2.56
10.65,1,10.65,4,10.65,7,10.625,16,10.65,0
10.66,3,10.66,11,10.66,13,10.635,27,10.66,5.12
10.67,1,10.67,7,10.67,6,10.645,24,10.67,5.12
10.68,2,10.68,8,10.68,5,10.655,22,10.68,7.68
10.69,1,10.69,10,10.69,5,10.665,23,10.69,2.56
10.7,0,10.7,8,10.7,3,10.675,15,10.7,2.56
10.71,1,10.71,11,10.71,2,10.685,22,10.71,7.68
10.72,0,10.72,11,10.72,6,10.695,27,10.72,2.56
10.73,1,10.73,4,10.73,5,10.705,30,10.73,5.12
10.74,2,10.74,12,10.74,6,10.715,19,10.74,0
10.75,1,10.75,10,10.75,5,10.725,19,10.75,2.56
10.76,0,10.76,9,10.76,3,10.735,18,10.76,10.24
10.77,1,10.77,9,10.77,2,10.745,16,10.77,2.56
10.78,1,10.78,9,10.78,10,10.755,18,10.78,5.12
10.79,0,10.79,5,10.79,7,10.765,26,10.79,2.56
10.8,0,10.8,12,10.8,7,10.775,14,10.8,2.56
10.81,2,10.81,12,10.81,7,10.785,22,10.81,2.56
10.82,2,10.82,14,10.82,6,10.795,24,10.82,7.68
10.83,2,10.83,15,10.83,13,10.805,22,10.83,10.24
10.84,2,10.84,7,10.84,6,10.815,24,10.84,0
10.85,1,10.85,9,10.85,7,10.825,24,10.85,0
