[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1511291515.824000 11/21/2017, 11:11:55 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO Gd20nm
INFO, WEIGHT, 21.900
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20171121-YBCO-Gd20nm.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1511291515.821,,1.000000e+001,1.998637e+000,9.620012e-008,1.939058e-008,3,0.000000e+000,2.015650e+001,,,,,,,,,,,,,,48,2,6.000000e+000,3.160238e-004,0.000000e+000,0,,0,
1511291887.570,,1.000000e+001,4.011210e+000,-4.448931e-008,1.203491e-007,3,0.000000e+000,2.705123e+002,,,,,,,,,,,,,,48,2,6.000000e+000,9.980679e-003,0.000000e+000,0,,0,
1511292297.343,,1.000000e+001,6.000300e+000,-1.457127e-007,1.362561e-007,3,0.000000e+000,9.351009e+001,,,,,,,,,,,,,,48,2,6.000000e+000,5.984783e-003,0.000000e+000,0,,0,
1511292490.992,,1.000000e+001,8.010056e+000,-1.482801e-008,1.281182e-008,3,0.000000e+000,8.640281e+001,,,,,,,,,,,,,,48,2,6.000000e+000,3.164577e-002,0.000000e+000,0,,0,
1511292636.974,,1.000000e+001,1.000817e+001,9.185285e-008,9.373696e-008,3,0.000000e+000,1.020512e+002,,,,,,,,,,,,,,48,2,6.000000e+000,2.608395e-002,0.000000e+000,0,,0,
1511292878.124,,1.000000e+001,1.200195e+001,-1.540743e-007,2.255942e-007,3,0.000000e+000,1.464191e+002,,,,,,,,,,,,,,48,2,6.000000e+000,7.820129e-003,0.000000e+000,0,,0,
1511293018.206,,1.000000e+001,1.399741e+001,4.636595e-008,2.630043e-008,3,0.000000e+000,5.672358e+001,,,,,,,,,,,,,,48,2,6.000000e+000,4.000664e-003,0.000000e+000,0,,0,
1511293163.731,,1.000000e+001,1.599673e+001,-8.828937e-008,2.709382e-008,3,0.000000e+000,3.068752e+001,,,,,,,,,,,,,,48,2,6.000000e+000,8.501053e-003,0.000000e+000,0,,0,
1511293307.872,,1.000000e+001,1.799253e+001,-1.476437e-010,1.623834e-007,3,0.000000e+000,1.099833e+005,,,,,,,,,,,,,,48,2,6.000000e+000,6.610870e-003,0.000000e+000,0,,0,
1511293453.294,,1.000000e+001,1.999194e+001,-3.236643e-009,1.232200e-007,3,0.000000e+000,3.807032e+003,,,,,,,,,,,,,,48,2,6.000000e+000,6.099701e-003,0.000000e+000,0,,0,
