#     thickness (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   2     3.32677754426287                    0                    0                  270
                   2     3.32698213704987                    0                   -0                  270
                   2     3.32720799793517                    0                   -0                  270
                   2     3.32745706082995                    0                   -0                  270
                   2     3.32773140411653                    0                   -0                  270
                   2     3.32803325812351                    0                   -0                  270
                   2     3.32836501265078                    0                   -0                  270
                   2     3.32872922450554                    0                   -0                  270
                   2     3.32912862500648                    0                   -0                  270
                   2     3.32956612740945                    0                   -0                  270
                   2     3.33004483420367                    0                   -0                  270
                   2      3.3305680442237                    0                   -0                  270
                   2     3.33113925951834                    0                   -0                  270
                   2     3.33176219191393                    0                   -0                  270
                   2     3.33244076920569                    0                   -0                  270
                   2     3.33317914090726                    0                   -0                  270
                   2     3.33398168348546                    0                   -0                  270
                   2     3.33485300500427                    0                   -0                  270
                   2      3.3357979490995                    0                   -0                  270
                   2      3.3368215982033                    0                   -0                  270
                   2     3.33792927593617                    0                   -0                  270
                   2      3.3391265485828                    0                   -0                  270
                   2     3.34041922556742                    0                   -0                  270
                   2     3.34181335884457                    0                   -0                  270
                   2     3.34331524112162                    0                   -0                  270
                   2     3.34493140283111                    0                   -0                  270
                   2     3.34666860777283                    0                   -0                  270
                   2     3.34853384734898                    0                   -0                  270
                   2     3.35053433331936                    0                   -0                  270
                   2     3.35267748900835                    0                   -0                  270
                   2     3.35497093890117                    0                   -0                  270
                   2     3.35742249657345                    0                   -0                  270
                   2     3.36004015090561                    0                   -0                  270
                   2     3.36283205054202                    0                   -0                  270
                   2     3.36580648656428                    0                   -0                  270
                   2     3.36897187335801                    0                   -0                  270
                   2     3.37233672766375                    0                   -0                  270
                   2     3.37590964581452                    0                   -0                  270
                   2     3.37969927917486                    0                   -0                  270
                   2     3.38371430780988                    0                   -0                  270
                   2     3.38796341242652                    0                   -0                  270
                   2      3.3924552446436                    0                   -0                  270
                   2     3.39719839566231                    0                   -0                  270
                   2     3.40220136342356                    0                   -0                  270
                   2      3.4074725183543                    0                   -0                  270
                   2     3.41302006781993                    0                   -0                  270
                   2     3.41885201941545                    0                   -0                  270
                   2     3.42497614324296                    0                   -0                  270
                   2     3.43139993333765                    0                   -0                  270
                   2      3.4381305684188                    0                   -0                  270
                   2     3.44517487215548                    0                   -0                  270
                   2     3.45253927314955                    0                   -0                  270
                   2     3.46022976484969                    0                   -0                  270
                   2     3.46825186562126                    0                   -0                  270
                   2     3.47661057920521                    0                   -0                  270
                   2     3.48531035580757                    0                   -0                  270
                   2     3.49435505406677                    0                   -0                  270
                   2     3.50374790415056                    0                   -0                  270
                   2     3.51349147223704                    0                   -0                  270
