[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1509065902.606000 10/26/2017, 5:58:22 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO Gd 3nm
INFO, WEIGHT, 59.410
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, with substrate
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20171025-YBCO-Ta-500C.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1509065902.606,,1.000000e+001,1.998659e+000,-5.935386e-005,3.501116e-007,3,4.737661e-001,5.898716e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.753092e-003,0.000000e+000,0,,0,
1509066168.136,,1.000000e+001,3.996103e+000,-5.920765e-005,4.751553e-008,3,4.685254e-001,8.025234e-002,,,,,,,,,,,,,,48,2,6.000000e+000,2.042198e-002,0.000000e+000,0,,0,
1509066321.686,,1.000000e+001,6.005588e+000,-5.941845e-005,2.704406e-008,3,4.727870e-001,4.551458e-002,,,,,,,,,,,,,,48,2,6.000000e+000,2.667332e-002,0.000000e+000,0,,0,
1509066519.457,,1.000000e+001,8.014754e+000,-5.926343e-005,8.809062e-008,3,4.725216e-001,1.486425e-001,,,,,,,,,,,,,,48,2,6.000000e+000,3.993988e-002,0.000000e+000,0,,0,
1509066672.547,,1.000000e+001,9.992153e+000,-5.912963e-005,6.663389e-008,3,4.712512e-001,1.126912e-001,,,,,,,,,,,,,,48,2,6.000000e+000,5.072594e-003,0.000000e+000,0,,0,
1509066824.897,,1.000000e+001,1.199368e+001,-5.902885e-005,1.129790e-007,3,4.725412e-001,1.913962e-001,,,,,,,,,,,,,,48,2,6.000000e+000,6.830215e-003,0.000000e+000,0,,0,
1509066961.397,,1.000000e+001,1.400430e+001,-5.891318e-005,2.141556e-008,3,4.731504e-001,3.635105e-002,,,,,,,,,,,,,,48,2,6.000000e+000,6.119728e-003,0.000000e+000,0,,0,
1509067110.398,,1.000000e+001,1.599232e+001,-5.877893e-005,2.096538e-008,3,4.722179e-001,3.566819e-002,,,,,,,,,,,,,,48,2,6.000000e+000,6.539345e-003,0.000000e+000,0,,0,
1509067252.818,,1.000000e+001,1.799149e+001,-5.862485e-005,5.180893e-009,3,4.732371e-001,8.837367e-003,,,,,,,,,,,,,,48,2,6.000000e+000,4.961014e-003,0.000000e+000,0,,0,
1509067400.558,,1.000000e+001,1.999498e+001,-5.847134e-005,4.863454e-008,3,4.711990e-001,8.317672e-002,,,,,,,,,,,,,,48,2,6.000000e+000,5.081177e-003,0.000000e+000,0,,0,
