[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,PPMS_MANG
FILEOPENTIME,30562855.11,12/20/2017,7:09 pm
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.4. Build 2,APPNAME
INFO,,SAMPLE1_MATERIAL
INFO,,SAMPLE1_COMMENT
INFO,1.0,SAMPLE1_LEAD_SEPARATION
INFO,1.0,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1.0,SAMPLE2_LEAD_SEPARATION
INFO,1.0,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,30562881.575,4370,300.00355,312.857,90.014,0.102153342753992,173,0.00428354214513538,,3.24370989111508E-6,,42.202330468554,,0.0319576864449744,,,,,,,,,,0,1000,-59.2859524587312,,-81.07033051431,,3.95817788080087E-5,,0.00428354277161648,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562897.4,4370,299.77835,312.857,90.014,0.102153342753992,173,,7.44760170649019E-5,,1.36734371270862E-8,,0.729142052258413,,0.000133866287901814,,,,,,,,,0,25000,,-83.714150465913,,-82.3297348644273,,4.03259615001648E-6,,7.44763910655575E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562909.335,4370,299.28705,312.857,90.014,0.102153342753992,173,0.00427641708485104,,3.13030768924984E-6,,42.1316819179782,,0.0308400941057969,,,,,,,,,,0,1000,-59.5962775684646,,-80.6063161851344,,4.27134410339479E-5,,0.00427641781560211,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562925.58,4374,298.7702,312.857,90.014,0.102153342753992,173,,7.45106759086718E-5,,1.40924949463479E-8,,0.729481410251247,,0.000137968972088768,,,,,,,,,0,25000,,-93.845190034981,,-81.4243025177462,,4.03830669612959E-6,,7.45110507948572E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562937.775,4374,298.4331,312.857,90.014,0.102153342753992,173,0.00427246068941531,,3.13766720940322E-6,,42.0924529236359,,0.0309124172084947,,,,,,,,,,0,1000,-59.5691543966137,,-80.6012267720279,,4.20983937051759E-5,,0.00427246139993051,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562954.575,4374,297.92415,312.857,90.014,0.102153342753992,173,,7.4514557908143E-5,,1.32442167071158E-8,,0.729519420394727,,0.00012966411364498,,,,,,,,,0,25000,,-87.2873145187636,,-85.737860819226,,4.06250219892474E-6,,7.45149372802685E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562967.35,4374,297.4047,312.857,90.014,0.102153342753992,173,0.00426803233998337,,3.14213062797015E-6,,42.048544899449,,0.0309561851672237,,,,,,,,,,0,1000,-59.5433281868488,,-80.6790142484035,,4.14783952784883E-5,,0.0042680330304403,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562983.62,4374,296.4826,312.857,90.014,0.102153342753992,173,,7.45613195497441E-5,,1.59856743130734E-8,,0.729977281570179,,0.000156503679981819,,,,,,,,,0,25000,,-81.7098909981502,,-86.1087111436267,,4.0229203608181E-6,,7.45616913319814E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30562994.68,4374,295.62795,312.857,90.014,0.102153342753992,173,0.00426131453722225,,3.13871463400893E-6,,41.9819375751267,,0.0309222189030608,,,,,,,,,,0,1000,-59.5362991094807,,-80.7297815408171,,4.10025772062433E-5,,0.00426131521299258,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30563004.67,4374,294.5881,312.857,90.014,0.102153342753992,173,,7.45313465407539E-5,,1.69728782090136E-8,,0.729683804331097,,0.00016616787092115,,,,,,,,,0,5000,,-85.005828989083,,-81.4243054992706,,5.58625879374199E-6,,7.45320637097064E-5,,,,,,,,,,,,,,,,,,,,,,,,,,
,30563016.765,4370,293.0972,312.857,90.014,0.102153342753992,173,0.0042498976420364,,3.10684410238265E-6,,41.8687416166061,,0.0306077094016289,,,,,,,,,,0,1000,-59.6038341823981,,-80.798793411234,,4.12118776448842E-5,,0.00424989832655733,,,,,,,,,,,,,,,,,,,,,,,,,,,
