PDF#35-0734: QM=Star(S); d=Diffractometer; I=Diffractometer
Tausonite, syn
Sr Ti O3	
Radiation=CuKa1	Lambda=1.5405	Filter=Ni
Calibration=	2T=22.783-150.136	I/Ic(RIR)=6.22
Ref: Swanson, H., Fuyat.
Natl. Bur. Stand. (U.S.), Circ. 539, v3 p44 (1954)
Cubic - (Unknown),  Pm-3m (221)	Z=1	mp=
CELL: 3.905 x 3.905 x 3.905 <90.0 x 90.0 x 90.0>	P.S=cP5 (?)
Density(c)=5.116	Density(m)=4.72A	Mwt=183.52	Vol=59.55	F(18)=47.2(.0182,21/0)
Ref: Ibid.

Strong Lines: 2.76/X 1.95/5 1.59/4 2.25/3 1.38/3 1.04/2 1.24/2 3.90/1 0.92/1 0.87/1
NOTE:  Sample from Nat.
Lead Co.
Spectrographic analysis: <0.01% Al, Ba, Ca, Si; <0.001% Cu, Mg.
Pattern taken at 25 C.
To replace 5-634 and 40-1500.

2-Theta    d(Å)   I(f)  ( h k l)   Theta  1/(2d)   2pi/d  n^2  
 22.783  3.9000   12.0  ( 1 0 0)  11.391  0.1282  1.6111    1
 32.424  2.7590  100.0  ( 1 1 0)  16.212  0.1812  2.2773    2
 39.984  2.2530   30.0  ( 1 1 1)  19.992  0.2219  2.7888    3
 46.483  1.9520   50.0  ( 2 0 0)  23.242  0.2561  3.2188    4
 52.357  1.7460    3.0  ( 2 1 0)  26.178  0.2864  3.5986    5
 57.794  1.5940   40.0  ( 2 1 1)  28.897  0.3137  3.9418    6
 67.803  1.3810   25.0  ( 2 2 0)  33.902  0.3621  4.5497    8
 72.543  1.3020    1.0  ( 3 0 0)  36.272  0.3840  4.8258    9
 77.175  1.2350   15.0  ( 3 1 0)  38.587  0.4049  5.0876   10
 81.721  1.1774    5.0  ( 3 1 1)  40.861  0.4247  5.3365   11
 86.204  1.1273    8.0  ( 2 2 2)  43.102  0.4435  5.5737   12
 95.127  1.0437   16.0  ( 3 2 1)  47.564  0.4791  6.0201   14
104.150  0.9765    3.0  ( 4 0 0)  52.075  0.5120  6.4344   16
113.609  0.9205   10.0  ( 4 1 1)  56.804  0.5432  6.8258   18
118.585  0.8959    3.0  ( 3 3 1)  59.292  0.5581  7.0133   19
123.826  0.8731   10.0  ( 4 2 0)  61.913  0.5727  7.1964   20
135.416  0.8325    6.0  ( 3 3 2)  67.708  0.6006  7.5474   22
150.136  0.7972    9.0  ( 4 2 2)  75.068  0.6272  7.8816   24
