[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1508963932.733000 10/25/2017, 1:38:52 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO Ta20nm annealed 500C
INFO, WEIGHT, 55.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, with substrate
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20171025-YBCO-Ta-500C.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1508963932.733,,1.000000e+001,1.999960e+000,9.409948e-007,1.149566e-007,3,6.340712e-001,1.221650e+001,,,,,,,,,,,,,,48,2,6.000000e+000,1.986861e-003,0.000000e+000,0,,0,
1508964784.124,,1.000000e+001,4.004642e+000,8.483164e-007,7.708029e-008,3,6.240985e-001,9.086267e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.167297e-002,0.000000e+000,0,,0,
1508964973.055,,1.000000e+001,5.998962e+000,7.146108e-007,7.058630e-008,3,4.599293e-001,9.877586e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.287794e-002,0.000000e+000,0,,0,
1508965103.165,,1.000000e+001,8.003508e+000,8.380608e-007,3.020209e-008,3,5.372238e-001,3.603806e+000,,,,,,,,,,,,,,48,2,6.000000e+000,9.811401e-003,0.000000e+000,0,,0,
1508965235.155,,1.000000e+001,1.000540e+001,7.504576e-007,5.217153e-008,3,4.286220e-001,6.951962e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.320839e-002,0.000000e+000,0,,0,
1508965492.605,,1.000000e+001,1.199426e+001,6.474413e-007,1.088833e-007,3,3.880315e-001,1.681748e+001,,,,,,,,,,,,,,48,2,6.000000e+000,7.240295e-003,0.000000e+000,0,,0,
1508965631.805,,1.000000e+001,1.400060e+001,7.296541e-007,1.141432e-007,3,5.493665e-001,1.564347e+001,,,,,,,,,,,,,,48,2,6.000000e+000,7.169724e-003,0.000000e+000,0,,0,
1508965774.016,,1.000000e+001,1.599200e+001,7.685022e-007,5.478472e-008,3,5.978659e-001,7.128766e+000,,,,,,,,,,,,,,48,2,6.000000e+000,5.220413e-003,0.000000e+000,0,,0,
1508965917.376,,1.000000e+001,1.799211e+001,6.813594e-007,3.396802e-008,3,5.328108e-001,4.985331e+000,,,,,,,,,,,,,,48,2,6.000000e+000,5.790710e-003,0.000000e+000,0,,0,
1508966067.636,,1.000000e+001,1.999143e+001,8.426949e-007,9.598946e-008,3,5.698093e-001,1.139077e+001,,,,,,,,,,,,,,48,2,6.000000e+000,7.110596e-003,0.000000e+000,0,,0,
1508966202.476,,1.000000e+001,2.199044e+001,8.106774e-007,2.994227e-008,3,5.801471e-001,3.693488e+000,,,,,,,,,,,,,,48,2,6.000000e+000,6.731033e-003,0.000000e+000,0,,0,
1508966356.796,,1.000000e+001,2.398914e+001,8.329375e-007,1.163304e-007,3,5.633927e-001,1.396628e+001,,,,,,,,,,,,,,48,2,6.000000e+000,9.418488e-003,0.000000e+000,0,,0,
1508966499.467,,1.000000e+001,2.600115e+001,6.908787e-007,2.514355e-008,3,5.267809e-001,3.639358e+000,,,,,,,,,,,,,,48,2,6.000000e+000,4.219055e-003,0.000000e+000,0,,0,
1508966641.687,,1.000000e+001,2.800028e+001,7.779802e-007,2.208041e-008,3,5.499510e-001,2.838172e+000,,,,,,,,,,,,,,48,2,6.000000e+000,3.879547e-003,0.000000e+000,0,,0,
1508966797.997,,1.000000e+001,3.000098e+001,7.425649e-007,4.836857e-008,3,5.710672e-001,6.513717e+000,,,,,,,,,,,,,,48,2,6.000000e+000,4.428864e-003,0.000000e+000,0,,0,
1508966951.067,,1.000000e+001,3.200313e+001,6.768690e-007,1.373795e-008,3,5.968819e-001,2.029632e+000,,,,,,,,,,,,,,48,2,6.000000e+000,7.499695e-003,0.000000e+000,0,,0,
1508967109.218,,1.000000e+001,3.400154e+001,7.667442e-007,4.457905e-008,3,6.319685e-001,5.814071e+000,,,,,,,,,,,,,,48,2,6.000000e+000,4.219055e-003,0.000000e+000,0,,0,
1508967265.538,,1.000000e+001,3.600519e+001,7.729196e-007,1.537603e-008,3,6.247228e-001,1.989344e+000,,,,,,,,,,,,,,48,2,6.000000e+000,6.259918e-003,0.000000e+000,0,,0,
1508967434.628,,1.000000e+001,3.800421e+001,7.987920e-007,1.864303e-008,3,6.098066e-001,2.333903e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.905823e-002,0.000000e+000,0,,0,
1508967615.548,,1.000000e+001,4.000055e+001,7.070928e-007,4.438961e-008,3,5.878911e-001,6.277763e+000,,,,,,,,,,,,,,48,2,6.000000e+000,7.610321e-003,0.000000e+000,0,,0,
1508967794.599,,1.000000e+001,4.200845e+001,6.528659e-007,2.964411e-008,3,5.328126e-001,4.540612e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.667786e-002,0.000000e+000,0,,0,
1508967965.849,,1.000000e+001,4.401545e+001,6.705907e-007,1.573533e-008,3,4.968498e-001,2.346488e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.278137e-002,0.000000e+000,0,,0,
1508968129.629,,1.000000e+001,4.602162e+001,6.901789e-007,3.001104e-008,3,5.462449e-001,4.348300e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.240158e-002,0.000000e+000,0,,0,
1508968280.979,,1.000000e+001,4.802760e+001,7.180407e-007,5.355280e-008,3,5.984601e-001,7.458185e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.153015e-002,0.000000e+000,0,,0,
1508968442.319,,1.000000e+001,5.003299e+001,6.985440e-007,1.811058e-008,3,5.122223e-001,2.592618e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.787018e-002,0.000000e+000,0,,0,
1508968601.990,,1.000000e+001,5.204607e+001,7.141099e-007,4.809120e-008,3,5.714890e-001,6.734425e+000,,,,,,,,,,,,,,48,2,6.000000e+000,3.371811e-002,0.000000e+000,0,,0,
1508968751.280,,1.000000e+001,5.405640e+001,6.778555e-007,8.181604e-009,3,5.782745e-001,1.206983e+000,,,,,,,,,,,,,,48,2,6.000000e+000,3.485107e-002,0.000000e+000,0,,0,
1508968905.260,,1.000000e+001,5.605801e+001,6.372172e-007,2.435228e-008,3,5.465281e-001,3.821661e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.729797e-002,0.000000e+000,0,,0,
1508969062.950,,1.000000e+001,5.806220e+001,7.397360e-007,5.313715e-008,3,6.315825e-001,7.183259e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.922058e-002,0.000000e+000,0,,0,
