[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1502427141.516000 8/10/2017, 9:52:21 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, YBCO Ta
INFO, WEIGHT, 70.860
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, mass includes substrate
INFO, SEQUENCE FILE: 20170810-YBCO-Ta.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1502427141.513,,1.000000e+001,2.002128e+000,-1.754054e-004,2.519272e-006,-3.554962e-003,1.109115e-002,3,6.860180e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,2.942801e-003,0,,0,
1502427366.491,,1.000000e+001,7.006363e+000,-1.699344e-004,2.955218e-008,-1.144774e-002,7.458952e-004,3,7.951088e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,5.159378e-003,0,,0,
1502427557.243,,1.000000e+001,1.199394e+001,-1.611485e-004,1.473716e-005,2.657696e-002,5.759002e-002,3,7.400663e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,4.429817e-003,0,,0,
1502427728.443,,1.000000e+001,1.698486e+001,-1.589092e-004,4.972124e-006,-2.160970e-002,1.340610e-002,3,7.563232e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,7.379532e-003,0,,0,
1502427898.705,,1.000000e+001,2.197428e+001,-1.566644e-004,2.740780e-007,-1.272078e-002,1.809397e-004,3,7.956464e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,1.405907e-002,0,,0,
1502428088.904,,1.000000e+001,2.699790e+001,-1.340042e-004,2.560442e-006,-2.011520e-002,1.104380e-002,3,7.429625e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,9.117126e-004,0,,0,
1502428279.877,,1.000000e+001,3.199846e+001,-1.089615e-004,7.130787e-006,-8.443882e-002,6.788419e-002,3,5.791504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,1.258850e-003,0,,0,
1502428493.869,,1.000000e+001,3.699948e+001,-1.189499e-004,1.360938e-005,1.610434e-002,4.443320e-002,3,6.864789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,1.651764e-003,0,,0,
1502428782.191,,1.000000e+001,4.200191e+001,-1.123834e-004,2.096271e-006,-2.916436e-002,2.269886e-003,3,7.786749e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,2.090454e-003,0,,0,
1502429035.763,,1.000000e+001,4.699721e+001,-8.889246e-005,4.341969e-007,-4.400121e-002,1.419690e-004,3,7.971849e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,3,2,3.101349e-003,0,,0,
