[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1494378536.833000 5/9/2017, 6:08:56 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, RVC64B
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, film on substrate
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20170509-RVC64b.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1494378536.833,,1.000000e+001,4.996634e+000,-1.621918e-006,1.316073e-007,3,6.773033e-001,8.114298e+000,,,,,,,,,,,,,,48,2,6.000000e+000,6.800175e-003,0.000000e+000,0,,0,
1494378678.164,,1.000000e+001,6.977401e+000,-1.696931e-006,1.052356e-007,3,6.940907e-001,6.201526e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.867390e-002,0.000000e+000,0,,0,
1494378833.974,,1.000000e+001,8.959049e+000,-1.642279e-006,6.838589e-008,3,6.625804e-001,4.164086e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.749992e-002,0.000000e+000,0,,0,
1494378975.944,,1.000000e+001,1.092752e+001,-1.486373e-006,1.926138e-008,3,6.852815e-001,1.295865e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.330780e-003,0.000000e+000,0,,0,
1494379135.704,,1.000000e+001,1.291311e+001,-1.671217e-006,7.636488e-008,3,6.602326e-001,4.569416e+000,,,,,,,,,,,,,,48,2,6.000000e+000,8.580208e-003,0.000000e+000,0,,0,
1494379268.864,,1.000000e+001,1.489124e+001,-1.607989e-006,1.729630e-007,3,6.722004e-001,1.075647e+001,,,,,,,,,,,,,,48,2,6.000000e+000,1.016998e-002,0.000000e+000,0,,0,
1494379414.255,,1.000000e+001,1.687471e+001,-1.743228e-006,6.258142e-008,3,6.914582e-001,3.589974e+000,,,,,,,,,,,,,,48,2,6.000000e+000,7.280350e-003,0.000000e+000,0,,0,
1494379557.305,,1.000000e+001,1.885116e+001,-1.559413e-006,1.064262e-007,3,6.582127e-001,6.824762e+000,,,,,,,,,,,,,,48,2,6.000000e+000,7.240295e-003,0.000000e+000,0,,0,
1494379701.735,,1.000000e+001,2.083017e+001,-1.694661e-006,2.507091e-007,3,6.648735e-001,1.479406e+001,,,,,,,,,,,,,,48,2,6.000000e+000,8.810043e-003,0.000000e+000,0,,0,
1494379849.585,,1.000000e+001,2.280473e+001,-1.673356e-006,1.168502e-007,3,6.725950e-001,6.982984e+000,,,,,,,,,,,,,,48,2,6.000000e+000,2.301025e-002,0.000000e+000,0,,0,
1494379999.856,,1.000000e+001,2.478083e+001,-1.664503e-006,4.642659e-008,3,6.969485e-001,2.789216e+000,,,,,,,,,,,,,,48,2,6.000000e+000,8.470535e-003,0.000000e+000,0,,0,
1494380149.466,,1.000000e+001,2.677150e+001,-1.776389e-006,9.423328e-009,3,6.949531e-001,5.304767e-001,,,,,,,,,,,,,,48,2,6.000000e+000,6.238937e-003,0.000000e+000,0,,0,
1494380296.506,,1.000000e+001,2.875126e+001,-1.708078e-006,1.563668e-007,3,6.975220e-001,9.154544e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.223946e-002,0.000000e+000,0,,0,
1494380455.546,,1.000000e+001,3.073120e+001,-1.737398e-006,1.272551e-007,3,6.916760e-001,7.324464e+000,,,,,,,,,,,,,,48,2,6.000000e+000,6.950378e-003,0.000000e+000,0,,0,
1494380615.156,,1.000000e+001,3.271122e+001,-1.783272e-006,1.579312e-007,3,6.686176e-001,8.856259e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.303101e-002,0.000000e+000,0,,0,
1494380773.327,,1.000000e+001,3.469205e+001,-1.752415e-006,5.839647e-008,3,6.633909e-001,3.332342e+000,,,,,,,,,,,,,,48,2,6.000000e+000,8.743286e-003,0.000000e+000,0,,0,
1494380935.307,,1.000000e+001,3.667083e+001,-1.736465e-006,1.261313e-007,3,6.715965e-001,7.263682e+000,,,,,,,,,,,,,,48,2,6.000000e+000,6.477356e-003,0.000000e+000,0,,0,
1494381098.487,,1.000000e+001,3.865091e+001,-1.736619e-006,3.660509e-008,3,6.754833e-001,2.107836e+000,,,,,,,,,,,,,,48,2,6.000000e+000,1.607895e-002,0.000000e+000,0,,0,
1494381266.787,,1.000000e+001,4.063463e+001,-1.638344e-006,1.524283e-008,3,6.649323e-001,9.303805e-001,,,,,,,,,,,,,,48,2,6.000000e+000,9.799957e-003,0.000000e+000,0,,0,
