[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1494628369.423000 5/12/2017, 3:32:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, RVC64E
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, film on substrate
INFO, COMMENT, H in plane
INFO, SEQUENCE FILE: 20170509-RVC64b.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1494628369.423,,1.000000e+001,4.994936e+000,-1.063990e-004,6.651197e-007,3,7.111678e-001,6.251184e-001,,,,,,,,,,,,,,48,2,6.000000e+000,8.709908e-003,0.000000e+000,0,,0,
1494628521.443,,1.000000e+001,6.980576e+000,-1.054593e-004,2.644571e-007,3,7.109802e-001,2.507671e-001,,,,,,,,,,,,,,48,2,6.000000e+000,2.428102e-002,0.000000e+000,0,,0,
1494628658.904,,1.000000e+001,8.955967e+000,-1.038852e-004,4.019591e-007,3,7.089430e-001,3.869263e-001,,,,,,,,,,,,,,48,2,6.000000e+000,5.959511e-003,0.000000e+000,0,,0,
1494628799.054,,1.000000e+001,1.092996e+001,-1.021890e-004,1.016011e-007,3,7.016025e-001,9.942463e-002,,,,,,,,,,,,,,48,2,6.000000e+000,1.284027e-002,0.000000e+000,0,,0,
1494628946.554,,1.000000e+001,1.291293e+001,-1.025833e-004,4.183558e-007,3,7.017442e-001,4.078207e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.011944e-002,0.000000e+000,0,,0,
1494629092.374,,1.000000e+001,1.489195e+001,-1.024108e-004,2.832204e-007,3,7.056609e-001,2.765533e-001,,,,,,,,,,,,,,48,2,6.000000e+000,8.480072e-003,0.000000e+000,0,,0,
1494629228.204,,1.000000e+001,1.687071e+001,-1.016365e-004,5.682828e-007,3,7.022718e-001,5.591325e-001,,,,,,,,,,,,,,48,2,6.000000e+000,6.549835e-003,0.000000e+000,0,,0,
1494629363.935,,1.000000e+001,1.884867e+001,-1.014021e-004,6.487178e-007,3,6.964203e-001,6.397478e-001,,,,,,,,,,,,,,48,2,6.000000e+000,4.529953e-003,0.000000e+000,0,,0,
1494629515.095,,1.000000e+001,2.082907e+001,-1.016877e-004,7.922908e-007,3,7.049843e-001,7.791412e-001,,,,,,,,,,,,,,48,2,6.000000e+000,1.541138e-002,0.000000e+000,0,,0,
1494629666.115,,1.000000e+001,2.280603e+001,-1.003796e-004,3.158184e-007,3,7.002416e-001,3.146241e-001,,,,,,,,,,,,,,48,2,6.000000e+000,9.860992e-003,0.000000e+000,0,,0,
